Date,Fatal,Serious,Slight
2017-2-23,5,51,297
2017-2-24,2,78,338
2017-2-25,4,48,219
2017-2-26,3,42,204
2017-2-27,4,57,328
2017-2-28,6,72,359
2017-3-1,8,45,248
2017-3-2,10,70,369
2017-3-3,5,60,346
2017-3-4,4,62,277
2017-3-5,3,59,315
2017-3-6,6,52,280
2017-3-7,4,58,293
2017-3-8,2,61,233
2017-3-9,10,47,227
2017-3-10,7,71,350
2017-3-11,9,87,340
2017-3-12,7,40,222
2017-3-13,2,54,286
2017-3-14,3,66,267
2017-3-15,4,61,366
2017-3-16,5,58,289
2017-3-17,4,60,303
2017-3-18,4,57,254
2017-3-19,2,38,200
2017-3-20,1,52,264
2017-3-21,4,67,307
2017-3-22,7,57,293
2017-3-23,3,62,265
2017-3-24,5,69,336
2017-3-25,4,79,336
2017-3-26,4,71,233
2017-3-27,2,65,299
2017-3-28,2,68,301
2017-3-29,3,60,263
2017-3-30,5,51,303
2017-3-31,3,69,347
2017-4-1,3,64,267
2017-4-2,6,56,296
2017-4-3,6,59,235
2017-4-4,,49,261
2017-4-5,5,63,266
2017-4-6,4,58,209
2017-4-7,4,68,348
2017-4-8,2,63,289
2017-4-9,5,63,262
2017-4-10,1,46,285
2017-4-11,5,66,286
2017-4-12,5,59,324
2017-4-13,3,60,263
2017-4-14,1,49,233
2017-4-15,7,52,243
2017-4-16,4,32,210
2017-4-17,3,50,171
2017-4-18,3,65,286
2017-4-19,5,58,233
2017-4-20,4,46,255
2017-4-21,7,58,247
2017-4-22,4,74,245
2017-4-23,3,62,186
2017-4-24,2,61,278
2017-4-25,1,57,312
2017-4-26,5,60,318
2017-4-27,,54,297
2017-4-28,4,51,275
2017-4-29,5,73,221
2017-4-30,5,57,238
2017-5-1,4,73,360
2017-5-2,6,48,193
2017-5-3,4,43,231
2017-5-4,4,57,306
2017-5-5,5,80,316
2017-5-6,4,53,322
2017-5-7,2,91,356
2017-5-8,6,70,260
2017-5-9,3,59,287
2017-5-10,7,53,355
2017-5-11,5,42,239
2017-5-12,6,62,309
2017-5-13,5,54,251
2017-5-14,12,67,207
2017-5-15,2,48,301
2017-5-16,5,51,319
2017-5-17,5,53,317
2017-5-18,3,66,317
2017-5-19,1,59,313
2017-5-20,3,62,268
2017-5-21,5,68,223
2017-5-22,3,83,301
2017-5-23,3,71,283
2017-5-24,10,77,325
2017-5-25,4,75,375
2017-5-26,2,102,399
2017-5-27,5,71,276
2017-5-28,8,61,231
2017-5-29,2,41,212
2017-5-30,1,55,257
2017-5-31,4,77,256
2017-6-1,1,76,296
2017-6-2,6,65,332
2017-6-3,2,56,294
2017-6-4,5,64,311
2017-6-5,6,60,234
2017-6-6,5,56,316
2017-6-7,6,69,311
2017-6-8,7,64,233
2017-6-9,4,63,287
2017-6-10,10,67,349
2017-6-11,8,75,355
2017-6-12,4,81,328
2017-6-13,,82,321
2017-6-14,8,79,323
2017-6-15,8,74,348
2017-6-16,5,72,335
2017-6-17,4,80,310
2017-6-18,4,80,268
2017-6-19,4,70,357
2017-6-20,3,70,366
2017-6-21,4,68,343
2017-6-22,5,68,316
2017-6-23,2,84,315
2017-6-24,5,80,266
2017-6-25,5,84,202
2017-6-26,5,74,310
2017-6-27,2,61,286
2017-6-28,7,66,324
2017-6-29,3,59,310
2017-6-30,,73,309
2017-7-1,4,39,214
2017-7-2,3,75,352
2017-7-3,1,56,303
2017-7-4,3,65,309
2017-7-5,7,71,223
2017-7-6,6,70,268
2017-7-7,2,100,368
2017-7-8,8,58,219
2017-7-9,3,66,279
2017-7-10,4,70,266
2017-7-11,,66,356
2017-7-12,1,68,359
2017-7-13,3,64,335
2017-7-14,3,69,321
2017-7-15,2,71,278
2017-7-16,4,69,223
2017-7-17,8,71,361
2017-7-18,2,62,326
2017-7-19,4,49,276
2017-7-20,1,55,327
2017-7-21,5,76,335
2017-7-22,3,74,305
2017-7-23,7,74,227
2017-7-24,,50,248
2017-7-25,3,65,280
2017-7-26,4,57,261
2017-7-27,5,64,265
2017-7-28,2,64,297
2017-7-29,1,67,275
2017-7-30,6,61,211
2017-7-31,3,57,276
2017-8-1,2,37,187
2017-8-2,6,49,298
2017-8-3,2,59,275
2017-8-4,5,87,345
2017-8-5,4,44,253
2017-8-6,5,55,303
2017-8-7,2,83,280
2017-8-8,2,54,275
2017-8-9,7,66,384
2017-8-10,12,51,197
2017-8-11,6,57,368
2017-8-12,4,86,376
2017-8-13,3,60,268
2017-8-14,5,52,268
2017-8-15,2,59,294
2017-8-16,1,52,304
2017-8-17,7,55,344
2017-8-18,4,65,305
2017-8-19,10,51,228
2017-8-20,7,69,233
2017-8-21,1,56,240
2017-8-22,,61,267
2017-8-23,3,62,265
2017-8-24,2,60,234
2017-8-25,5,65,322
2017-8-26,5,61,239
2017-8-27,10,78,232
2017-8-28,11,64,213
2017-8-29,5,57,258
2017-8-30,10,42,301
2017-8-31,9,68,282
2017-9-1,4,62,358
2017-9-2,5,57,276
2017-9-3,6,71,314
2017-9-4,9,88,290
2017-9-5,1,64,312
2017-9-6,6,67,310
2017-9-7,13,66,232
2017-9-8,4,62,296
2017-9-9,7,59,316
2017-9-10,5,52,238
2017-9-11,6,48,344
2017-9-12,9,45,269
2017-9-13,3,51,317
2017-9-14,4,57,315
2017-9-15,4,83,349
2017-9-16,6,54,276
2017-9-17,5,58,231
2017-9-18,3,59,295
2017-9-19,7,69,331
2017-9-20,3,66,286
2017-9-21,,52,317
2017-9-22,7,91,411
2017-9-23,9,55,232
2017-9-24,3,57,249
2017-9-25,2,45,298
2017-9-26,3,58,287
2017-9-27,6,78,319
2017-9-28,4,71,334
2017-9-29,4,61,370
2017-9-30,8,65,298
2017-10-1,9,56,337
2017-10-2,6,59,366
2017-10-3,6,53,277
2017-10-4,,40,228
2017-10-5,4,60,322
2017-10-6,5,75,234
2017-10-7,4,67,312
2017-10-8,6,72,275
2017-10-9,5,69,223
2017-10-10,3,62,353
2017-10-11,6,81,368
2017-10-12,4,30,194
2017-10-13,8,53,316
2017-10-14,5,56,275
2017-10-15,7,69,230
2017-10-16,9,47,300
2017-10-17,3,58,309
2017-10-18,2,67,319
2017-10-19,2,66,382
2017-10-20,6,81,362
2017-10-21,10,63,264
